NomenclatureCode,Tier,ProductCode,ProductDescription
S3,4,0354,"Fish liver/roe,dr/sm/sal"
S3,4,0355,Fish meal fit for food
S3,3,036,Crustaceans molluscs etc
S3,4,0360,  UN Special Code
S3,4,0361,"Crustaceans, frozen"
S3,5,03611,"Shrimps/prawns, frozen"
S3,5,03619,Crustaceans n.e.s.frozen
S3,4,0362,"Crustaceans, not frozen"
S3,4,0363,Molluscs/aquatic invert.
S3,5,03631,Oysters
S3,5,03633,"Octopus/squid,frsh/chlld"
S3,5,03635,"Shell fish nes,frsh/chld"
S3,5,03637,"Octopus/squid,frz/dry/sa"
S3,5,03639,"Shell fish nes,fz/dr/sal"
S3,3,037,"Fish/shellfish,prep/pres"
S3,4,0371,"Fish, prepared/preserved"
S3,5,03711,"Salmon,prepd/preserved"
S3,5,03712,Herring etc prepd/presvd
S3,5,03713,Tuna etc prepd/preserved
S3,5,03714,Mackerel prepd/preserved
S3,5,03715,Fish nes prepd/preserved
S3,5,03716,"Fish prepard,presrvd nes"
S3,5,03717,Caviar/substitutes
S3,4,0372,Shellfish prepared/prsvd
S3,5,03721,"Crustaceans,prepd/presvd"
S3,5,03722,"Molluscs,prepared/presvd"
S3,2,04,Cereals/cereal preparatn
S3,3,040,  UN Special Code
S3,3,041,Wheat/meslin
S3,4,0411,Durum wheat
S3,4,0412,Wheat nes/meslin
S3,3,042,Rice
S3,4,0420,  UN Special Code
S3,4,0421,Rice in the husk
S3,4,0422,Rice husked(brown)
S3,4,0423,"Rice,milled"
S3,5,04231,Rice milled unbroken
S3,5,04232,"Rice milled, broken"
S3,3,043,Barley grain
S3,4,0430,Barley grain
S3,3,044,Maize except sweet corn.
S3,4,0441,Maize seed ex sweet corn
S3,4,0449,Maize ex sweet corn nes
S3,3,045,Cereal grains nes
S3,4,0451,Rye
S3,4,0452,Oats
S3,4,0453,Grain sorghum
S3,4,0459,Buckwheat/millet/etc unm
S3,5,04590,  UN Special Code
S3,5,04591,Millet
S3,5,04592,Buckwheat
S3,5,04593,Canary seed
S3,5,04599,Cereals grains nes
S3,3,046,Flour/meal wheat/meslin
S3,4,0461,Flour of wheat or meslin
S3,4,0462,Wheat meal/groats/pellet
S3,3,047,Cereal meal/flour n.e.s
S3,4,0471,Cereal flour(non-wheat)
S3,5,04711,Maize (corn) flour
S3,5,04719,Cereal meal/flour nes
S3,4,0472,Cereal meal/gr non-wheat
S3,5,04721,Maize meal/groats
S3,5,04722,Cereal groats/meal n.e.s
S3,5,04729,"Cereal pellets,non-wheat"
S3,3,048,Cereal etc flour/starch
S3,4,0481,Cereals/breakfast foods
S3,5,04810,  UN Special Code
S3,5,04811,Cereal roasted/puffed
S3,5,04812,"Cereal,grain,prp,ex corn"
S3,5,04813,Cereal nes rolled/flaked
S3,5,04814,"Cereal,prepd nes ex rice"
S3,5,04815,Cereal germ prepared
S3,4,0482,Malt/ malt flour
S3,4,0483,"Pasta, uncooked"
S3,4,0484,Bread/pastry/cakes/etc.
S3,5,04841,Crispbread/rusks/toast
S3,5,04842,Sweet biscuits etc.
S3,5,04849,Bakers wares nes
S3,4,0485,Bakers mixes/doughs
S3,2,05,Vegetables and fruit
S3,3,054,"Vegetables,frsh/chld/frz"
S3,4,0540,  UN Special Code
S3,4,0541,Potatoes frsh excl sweet
S3,4,0542,Dried legumes
S3,5,05420,  UN Special Code
S3,5,05421,Peas
S3,5,05422,Dried chickpeas
S3,5,05423,Dried beans n.e.s.
S3,5,05424,Dried lentils
